GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,Event_Type,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,,att,made,,,,,,
Shot Chart Detail,22100002,695,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,59,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,69,285,1,0,20211019,LAL,GSW,,,,,,,,1,1
Shot Chart Detail,22100002,572,2544,LeBron James,1610612747,Los Angeles Lakers,4,11,38,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,98,251,1,0,20211019,LAL,GSW,,,,,,,,1,1
Shot Chart Detail,22100025,81,2544,LeBron James,1610612747,Los Angeles Lakers,1,5,41,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,105,232,1,1,20211022,LAL,PHX,,,,,,,,1,1
Shot Chart Detail,22100025,383,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,2,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,118,226,1,0,20211022,LAL,PHX,,,,,,,,1,1
Shot Chart Detail,22100040,573,2544,LeBron James,1610612747,Los Angeles Lakers,4,7,38,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,221,1,1,20211024,LAL,MEM,,,,,,,,1,1
Shot Chart Detail,22100025,321,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,31,Missed Shot,0,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,142,205,1,0,20211022,LAL,PHX,,,,,,,,1,1
Shot Chart Detail,22100107,208,2544,LeBron James,1610612747,Los Angeles Lakers,2,9,53,Made Shot,1,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,142,236,1,1,20211102,LAL,HOU,,,,,,,,1,1
Shot Chart Detail,22100040,528,2544,LeBron James,1610612747,Los Angeles Lakers,4,11,23,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,146,221,1,1,20211024,LAL,MEM,,,,,,,,1,1
Shot Chart Detail,22100002,479,2544,LeBron James,1610612747,Los Angeles Lakers,3,4,54,Missed Shot,0,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,205,1,0,20211019,LAL,GSW,,,,,,,,1,0
Shot Chart Detail,22100040,26,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,32,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,165,210,1,0,20211024,LAL,MEM,,,,,,,,1,0
Shot Chart Detail,22100002,687,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,53,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,167,196,1,1,20211019,LAL,GSW,,,,,,,,1,0
Shot Chart Detail,22100107,642,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,47,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,181,179,1,0,20211102,LAL,HOU,,,,,,,,1,0
Shot Chart Detail,22100002,82,2544,LeBron James,1610612747,Los Angeles Lakers,1,6,8,Made Shot,1,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,205,169,1,1,20211019,LAL,GSW,,,,,,,,1,0
Shot Chart Detail,22100040,386,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,56,Missed Shot,0,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,210,177,1,0,20211024,LAL,MEM,,,,,,,,0.636363636,
Shot Chart Detail,22100107,573,2544,LeBron James,1610612747,Los Angeles Lakers,4,7,51,Made Shot,1,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-65,118,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,342,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,3,Made Shot,1,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-59,92,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100107,662,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,20,Missed Shot,0,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-45,115,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,409,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,47,Missed Shot,0,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,32,1,0,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100025,296,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,34,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-13,65,1,0,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100040,9,2544,LeBron James,1610612747,Los Angeles Lakers,1,11,30,Missed Shot,0,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,62,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100093,19,2544,LeBron James,1610612747,Los Angeles Lakers,1,11,4,Missed Shot,0,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,32,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,346,2544,LeBron James,1610612747,Los Angeles Lakers,2,1,42,Missed Shot,0,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,50,40,1,0,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100002,276,2544,LeBron James,1610612747,Los Angeles Lakers,2,5,55,Missed Shot,0,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,61,111,1,0,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100093,681,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,44,Missed Shot,0,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,69,65,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,370,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,35,Missed Shot,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,6,1,0,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100077,20,2544,LeBron James,1610612747,Los Angeles Lakers,1,10,18,Missed Shot,0,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,57,1,0,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100107,189,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,57,Made Shot,1,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,3,1,1,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100093,62,2544,LeBron James,1610612747,Los Angeles Lakers,1,6,59,Missed Shot,0,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,-7,1,0,20211031,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100107,350,2544,LeBron James,1610612747,Los Angeles Lakers,3,11,43,Missed Shot,0,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-194,26,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100077,175,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,17,Made Shot,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-188,66,1,1,20211029,LAL,CLE,,,,,,,,,
Shot Chart Detail,22100040,640,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,22,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-185,29,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100107,651,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,47,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-146,91,1,0,20211102,LAL,HOU,,,,,,,,,
Shot Chart Detail,22100002,671,2544,LeBron James,1610612747,Los Angeles Lakers,4,3,46,Made Shot,1,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-145,131,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100002,430,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,13,Made Shot,1,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-141,142,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100040,193,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,51,Missed Shot,0,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-119,180,1,0,20211024,LAL,MEM,,,,,,,,,
Shot Chart Detail,22100002,258,2544,LeBron James,1610612747,Los Angeles Lakers,2,7,12,Made Shot,1,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-110,111,1,1,20211019,LAL,GSW,,,,,,,,,
Shot Chart Detail,22100025,26,2544,LeBron James,1610612747,Los Angeles Lakers,1,9,43,Missed Shot,0,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-109,112,1,0,20211022,LAL,PHX,,,,,,,,,
Shot Chart Detail,22100025,195,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,8,Made Shot,1,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-105,41,1,1,20211022,LAL,PHX,,,,,,,,,
